"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","DummyAPI.io API Testing","Invalid API usage","0","0","5","0","0"
"","Complete Purchase Flow","User completes full purchase journey","0","1","0","0","0"
"","DummyAPI.io API Testing","Update User","0","0","1","0","0"
"","User Login","Failed login - wrong password","0","0","1","0","0"
"","DummyAPI.io API Testing","Create User","0","0","1","0","0"
"","Product Management","View product details","0","0","1","0","0"
"","User Signup","Failed registration - empty field","0","0","1","0","0"
"","User Signup","Successful registration","0","0","1","0","0"
"","User Logout","Logout button not visible when user is not logged in","0","0","1","0","0"
"","DummyAPI.io API Testing","Create User with invalid body","0","0","4","0","0"
"","User Login","Successful login","0","0","1","0","0"
"","Product Management","Add product to cart","0","0","2","0","0"
"","User Logout","Successful logout","0","0","1","0","0"
"","Checkout and Payment","Payment with missing required fields","0","0","1","0","0"
"","Product Management","Remove product from cart","0","0","1","0","0"
"","DummyAPI.io API Testing","Get User by ID","0","0","1","0","0"
"","DummyAPI.io API Testing","Get List of Users","0","0","1","0","0"
"","Product Management","View products by category","0","0","1","0","0"
"","DummyAPI.io API Testing","Get List of Tags","0","0","1","0","0"
"","User Login","Failed login - empty field","0","0","1","0","0"
"","DummyAPI.io API Testing","Delete User","0","0","1","0","0"
"","Checkout and Payment","Successful payment","0","0","1","0","0"
"","User Signup","Failed registration - duplicate username","0","0","1","0","0"
